relative_path,file_name,size_bytes,storage_group,dataset_family,api_or_source_url,status
DS_BPE_2024_CSV_FR.zip,DS_BPE_2024_CSV_FR.zip,13413554,insee_main,accessibility_services,https://api.insee.fr/melodi/data/DS_BPE_2024,available_validated
DS_BPE_EVOLUTION_2024_CSV_FR.zip,DS_BPE_EVOLUTION_2024_CSV_FR.zip,6616461,insee_main,accessibility_services,https://api.insee.fr/melodi/data/DS_BPE_EVOLUTION_2024,available_validated
DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip,DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip,5216982,insee_main,wages_private_sector,https://api.insee.fr/melodi/data/DS_BTS_SAL_EQTP_SEX_AGE_2023,available_validated
DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip,DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip,4395755,insee_main,wages_private_sector,https://api.insee.fr/melodi/data/DS_BTS_SAL_EQTP_SEX_PCS_2023,available_validated
DS_FILOSOFI_CC_2021_CSV_FR.zip,DS_FILOSOFI_CC_2021_CSV_FR.zip,5064436,insee_main,income_poverty,https://api.insee.fr/melodi/data/DS_FILOSOFI_CC_2021,available_validated
DS_FLORES_A17_2024_CSV_FR.zip,DS_FLORES_A17_2024_CSV_FR.zip,64309589,insee_main,employment_establishments,https://api.insee.fr/melodi/data/DS_FLORES_A17_2024,available_validated
DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip,DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip,4431431,insee_main,employment_establishments,https://api.insee.fr/melodi/data/DS_FLORES_ECONOMIC_SPHERE_2024,available_validated
DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip,DS_RP_DIPLOMES_PRINC_2022_CSV_FR.zip,25888546,insee_main,population_census,https://api.insee.fr/melodi/data/DS_RP_DIPLOMES_PRINC_2022,available_validated
DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip,DS_RP_EMPLOI_LR_COMP_2022_CSV_FR.zip,18437278,insee_main,population_census,https://api.insee.fr/melodi/data/DS_RP_EMPLOI_LR_COMP_2022,available_validated
DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip,DS_RP_EMPLOI_LT_COMP_2022_CSV_FR.zip,50066379,insee_main,population_census,https://api.insee.fr/melodi/data/DS_RP_EMPLOI_LT_COMP_2022,available_validated
