key,authors,title,year,venue,doi_or_url,theme,cited_in_project,verified,primary_source_consulted,claim_supported,risk,status
hidalgo2007productspace,"Hidalgo, Klinger, Barabási, Hausmann","The Product Space Conditions the Development of Nations",2007,Science 317 482-487,https://doi.org/10.1126/science.1144581,Product space; economic complexity; diversification,Background for Bloco 3 recommendation,YES,science.org DOI confirmed,Countries diversify into products close in product space,None,VERIFIED_PRIMARY
hidalgo2009buildingblocks,"Hidalgo, Hausmann","The Building Blocks of Economic Complexity",2009,PNAS 106 10570-10575,https://doi.org/10.1073/pnas.0900943106,Economic complexity index; ECI; PCI,Background for territory characterization,YES,pnas.org DOI confirmed,ECI predicts growth; complexity measurable from export basket,None,VERIFIED_PRIMARY
pachot2021production2vec,"Pachot, A. Albouy-Kissi, B. Albouy-Kissi, Chausse","Production2Vec: A Hybrid Recommender System...",2021,ICAIIS 2021 ACM,https://doi.org/10.1145/3469213.3469218,Production recommender; product complexity; industrial resilience,Bloco 3 foundational work,YES,ACM DL + HAL confirmed,Hybrid semantic + complexity recommender for industrial resilience,Atlas software not publicly available,VERIFIED_PRIMARY
pachot2021multiobjective,"Pachot, A. Albouy-Kissi, B. Albouy-Kissi, Chausse","Multiobjective Recommendation for Sustainable Production Systems",2021,MORS@RecSys 2021,https://github.com/apachot/Multiobjective-recommendation-for-sustainable-production-systems,Multi-objective recommendation; sustainable production,Bloco 3 framework,YES,GitHub code confirmed; proceedings DOI unverified,Recommendation can balance economic and sustainability objectives,Workshop proceedings not independently verified,VERIFIED_INSTITUTIONAL
pachot2022decisionsupport,"Pachot, A. Albouy-Kissi, B. Albouy-Kissi, Chausse","Decision Support System for Distributed Manufacturing Based on Input-Output Analysis and Economic Complexity",2022,Conference arXiv 2201.00694,https://arxiv.org/abs/2201.00694,I-O analysis; distributed manufacturing; product space; decision support,Bloco 3 I-O approach,YES,arXiv + HAL confirmed,I-O + product space identifies local substitution suppliers,None,VERIFIED_PRIMARY
hallac2017tvgl,"Hallac, Park, Boyd, Leskovec","Network Inference via the Time-Varying Graphical Lasso",2017,KDD 2017 ACM,https://doi.org/10.1145/3097983.3098037,Time-varying graph; sparse inverse covariance; temporal network,G2 candidate method,NO (new),ACM DL DOI confirmed,TVGL infers time-varying sparse networks from time series,T≈13 very short; strong regularization needed,VERIFIED_PRIMARY
matias2017dsbm,"Matias, Miele","Statistical Clustering of Temporal Networks Through a Dynamic Stochastic Block Model",2017,JRSS Series B 79(4) 1119-1141,https://doi.org/10.1111/rssb.12200,Dynamic SBM; temporal community detection; Markov chain node transitions,G2/G3 candidate method,NO (new),Wiley DOI confirmed,DSBM models community evolution in temporal networks,T≈13 may be too short; validate before use,VERIFIED_PRIMARY
econognn2026,"Araujo, Rodrigues, Sousa",EconoGNN: A GNN Framework for Temporal Economic Resilience Insights,2026,PLOS One 21(4) e0343683,https://doi.org/10.1371/journal.pone.0343683,GNN; economic resilience; temporal; trade networks,Methodological reference for temporal economic graphs,YES,Official PLOS ONE article checked 2026-06-11,Temporal GNN evaluated on an observed dynamic trade graph,Different task scale panel and evaluation; reference only,VERIFIED_PRIMARY
friedman2008glasso,"Friedman, Hastie, Tibshirani","Sparse Inverse Covariance Estimation with the Graphical Lasso",2008,Biostatistics 9(3) 432-441,https://doi.org/10.1093/biostatistics/kxm045,Graphical Lasso; sparse precision matrix; regularization,G2 foundational method,NO (new),Oxford Academic DOI confirmed 2026-06-10,L1-penalized inverse covariance yields sparse graphs,None,VERIFIED_PRIMARY
shojaie2022granger,"Shojaie, Fox","Granger Causality: A Review and Recent Advances",2022,Annual Review of Statistics,https://arxiv.org/abs/2105.02675,Granger causality; limitations; VAR,Methodological caution for G2,NO (new),arXiv confirmed; journal DOI to be confirmed,Granger predictability ≠ structural causality,None,UNVERIFIED
