ze2020,ze2020_label,year,observed_value,target_variable,lag_1,lag_2,lag_3,growth_1y_safe,growth_2y_safe,mask_observed_available,mask_lag_1_available,mask_lag_2_available,mask_lag_3_available,node_id,similar_ze_lag_1_mean,similar_ze_lag_1_weighted_mean,similar_ze_growth_1y_safe_mean,similar_ze_count,relational_feature_available
0051,Alençon,2012,825.0,establishment_creations,,,,,,1,0,0,0,0,,,,0,0
0051,Alençon,2013,755.0,establishment_creations,825.0,,,,,1,1,0,0,0,,,,0,0
0051,Alençon,2014,741.0,establishment_creations,755.0,825.0,,-0.0848484848484848,,1,1,1,0,0,,,,0,0
0051,Alençon,2015,733.0,establishment_creations,741.0,755.0,825.0,-0.0185430463576158,-0.1018181818181818,1,1,1,1,0,,,,0,0
0051,Alençon,2016,777.0,establishment_creations,733.0,741.0,755.0,-0.0107962213225371,-0.0291390728476821,1,1,1,1,0,,,,0,0
0051,Alençon,2017,742.0,establishment_creations,777.0,733.0,741.0,0.0600272851296043,0.048582995951417,1,1,1,1,0,1141.2,1140.2130141230627,0.014742904388376924,5,1
0051,Alençon,2018,834.0,establishment_creations,742.0,777.0,733.0,-0.045045045045045,0.0122783083219645,1,1,1,1,0,11021.8,11028.360795644372,0.06085472987042907,5,1
0051,Alençon,2019,977.0,establishment_creations,834.0,742.0,777.0,0.1239892183288409,0.0733590733590733,1,1,1,1,0,722.4,723.8173038454474,0.10639809712332346,5,1
0051,Alençon,2020,1009.0,establishment_creations,977.0,834.0,742.0,0.171462829736211,0.316711590296496,1,1,1,1,0,4655.2,4604.506355414176,0.13248342738227578,5,1
0051,Alençon,2021,1149.0,establishment_creations,1009.0,977.0,834.0,0.0327533265097236,0.2098321342925659,1,1,1,1,0,1948.2,1935.6863372198225,-0.013384349569849241,5,1
0051,Alençon,2022,1208.0,establishment_creations,1149.0,1009.0,977.0,0.1387512388503468,0.1760491299897645,1,1,1,1,0,6577.4,6551.988555288717,0.22147713361729987,5,1
